,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
3139,2020-08-04,8383.495341348646,5823.068285962399,12074.110507515965,5677.549920354839,11443.28841693319,360.6000181891981,360.6000181891981,360.6000181891981,6.7688559914347985,6.7688559914347985,6.7688559914347985,353.8311621977633,353.8311621977633,353.8311621977633,0.0,0.0,0.0,8744.095359537843
3140,2020-08-05,8385.722187366266,5617.571400204014,12142.555908316806,5661.847781092311,11480.237279207415,352.00906917905047,352.00906917905047,352.00906917905047,-0.01292785820816019,-0.01292785820816019,-0.01292785820816019,352.02199703725864,352.02199703725864,352.02199703725864,0.0,0.0,0.0,8737.731256545316
3141,2020-08-06,8387.949033383888,5495.7800888772335,12224.723298193458,5646.145641829785,11538.506444904418,340.296880521442,340.296880521442,340.296880521442,-9.828099427875472,-9.828099427875472,-9.828099427875472,350.1249799493175,350.1249799493175,350.1249799493175,0.0,0.0,0.0,8728.24591390533
3142,2020-08-07,8390.175879401508,5548.19138628833,12203.496378581925,5619.893580611539,11570.597452246031,334.7678687927502,334.7678687927502,334.7678687927502,-13.317059809369649,-13.317059809369649,-13.317059809369649,348.0849286021199,348.0849286021199,348.0849286021199,0.0,0.0,0.0,8724.943748194259
3143,2020-08-08,8392.40272541913,5626.331617219103,12201.774082127253,5593.47377024182,11598.716338784492,355.6916999890153,355.6916999890153,355.6916999890153,9.843688505691928,9.843688505691928,9.843688505691928,345.84801148332343,345.84801148332343,345.84801148332343,0.0,0.0,0.0,8748.094425408144
3144,2020-08-09,8394.62957143675,5627.583033259761,12240.311908892401,5567.053959872099,11626.458231484023,343.75164338060915,343.75164338060915,343.75164338060915,0.3887472068192308,0.3887472068192308,0.3887472068192308,343.3628961737899,343.3628961737899,343.3628961737899,0.0,0.0,0.0,8738.381214817358
3145,2020-08-10,8396.856417454372,5640.798088143847,12324.464106358168,5544.224163948692,11653.629348857428,346.7386575221463,346.7386575221463,346.7386575221463,6.156795391544487,6.156795391544487,6.156795391544487,340.5818621306018,340.5818621306018,340.5818621306018,0.0,0.0,0.0,8743.595074976518
3146,2020-08-11,8399.08326347199,5619.649485412059,12238.502722902314,5526.515418862438,11681.804971660713,344.23070611202127,344.23070611202127,344.23070611202127,6.768855991444522,6.768855991444522,6.768855991444522,337.46185012057674,337.46185012057674,337.46185012057674,0.0,0.0,0.0,8743.313969584011
3147,2020-08-12,8401.310109489612,5532.66694608096,12255.081800030568,5509.53531953779,11704.224605263133,333.95249172806183,333.95249172806183,333.95249172806183,-0.01292785822728682,-0.01292785822728682,-0.01292785822728682,333.9654195862891,333.9654195862891,333.9654195862891,0.0,0.0,0.0,8735.262601217673
3148,2020-08-13,8403.536955507234,5535.284326418299,12499.783640057261,5489.052486351624,11724.664396623828,320.23348577167405,320.23348577167405,320.23348577167405,-9.828099427843851,-9.828099427843851,-9.828099427843851,330.0615851995179,330.0615851995179,330.0615851995179,0.0,0.0,0.0,8723.770441278908
3149,2020-08-14,8405.763801524854,5501.488295700296,12315.517803879686,5476.64101208641,11745.005359568153,312.409444947699,312.409444947699,312.409444947699,-13.317059809403746,-13.317059809403746,-13.317059809403746,325.72650475710276,325.72650475710276,325.72650475710276,0.0,0.0,0.0,8718.173246472554
3150,2020-08-15,8407.990647542474,5539.150203695729,12493.455537447075,5460.193858360726,11763.33616465094,330.78768097315884,330.78768097315884,330.78768097315884,9.843688505697715,9.843688505697715,9.843688505697715,320.9439924674611,320.9439924674611,320.9439924674611,0.0,0.0,0.0,8738.778328515633
3151,2020-08-16,8410.217493560096,5338.1058281031555,12401.396788117061,5443.746704635032,11783.88346849607,316.0945817982586,316.0945817982586,316.0945817982586,0.3887472068032239,0.3887472068032239,0.3887472068032239,315.70583459145536,315.70583459145536,315.70583459145536,0.0,0.0,0.0,8726.312075358355
3152,2020-08-17,8412.444339577718,5509.47064629739,12284.99938557111,5427.299550909346,11804.430772341191,316.16868372454843,316.16868372454843,316.16868372454843,6.156795391511422,6.156795391511422,6.156795391511422,310.011888333037,310.011888333037,310.011888333037,0.0,0.0,0.0,8728.613023302267
3153,2020-08-18,8414.671185595336,5460.339399639413,12343.618955583619,5410.852397183661,11824.526443744971,310.63880577444706,310.63880577444706,310.63880577444706,6.768855991445704,6.768855991445704,6.768855991445704,303.86994978300135,303.86994978300135,303.86994978300135,0.0,0.0,0.0,8725.309991369784
3154,2020-08-19,8416.898031612958,5396.793063792433,12335.3182807791,5394.405243457967,11850.94293195982,297.2824546503109,297.2824546503109,297.2824546503109,-0.012927858246412412,-0.012927858246412412,-0.012927858246412412,297.29538250855734,297.29538250855734,297.29538250855734,0.0,0.0,0.0,8714.180486263269
3155,2020-08-20,8419.124877630578,5370.291258687854,12434.143276006609,5377.958089732274,11880.594636698821,280.4824055123931,280.4824055123931,280.4824055123931,-9.828099427842885,-9.828099427842885,-9.828099427842885,290.31050494023594,290.31050494023594,290.31050494023594,0.0,0.0,0.0,8699.607283142972
3156,2020-08-21,8421.3517236482,5477.700700623448,12100.12270284776,5361.510936006589,11900.57094821574,269.6266820502977,269.6266820502977,269.6266820502977,-13.317059809381224,-13.317059809381224,-13.317059809381224,282.9437418596789,282.9437418596789,282.9437418596789,0.0,0.0,0.0,8690.978405698497
3157,2020-08-22,8423.57856966582,5474.571457064488,12322.40501228492,5344.370284989536,11910.091871162505,285.07224136302256,285.07224136302256,285.07224136302256,9.843688505703756,9.843688505703756,9.843688505703756,275.2285528573188,275.2285528573188,275.2285528573188,0.0,0.0,0.0,8708.650811028843
3158,2020-08-23,8425.805415683442,5347.752286354936,12692.564769252194,5327.928489941222,11950.944625118818,267.5909055767105,267.5909055767105,267.5909055767105,0.3887472068032977,0.3887472068032977,0.3887472068032977,267.20215836990724,267.20215836990724,267.20215836990724,0.0,0.0,0.0,8693.396321260152
3159,2020-08-24,8428.032261701062,5180.426510025932,12483.927269758984,5313.5664831223485,11979.782329489248,265.0608869783228,265.0608869783228,265.0608869783228,6.156795391523125,6.156795391523125,6.156795391523125,258.9040915867996,258.9040915867996,258.9040915867996,0.0,0.0,0.0,8693.093148679385
3160,2020-08-25,8430.259107718683,5188.683367790164,12613.3606589038,5298.50099499776,11978.671559633185,257.1434678587292,257.1434678587292,257.1434678587292,6.768855991419528,6.768855991419528,6.768855991419528,250.37461186730968,250.37461186730968,250.37461186730968,0.0,0.0,0.0,8687.402575577411
3161,2020-08-26,8432.485953736305,5445.370359103951,12344.983739661095,5283.435506873171,11983.331143406842,241.64009421155515,241.64009421155515,241.64009421155515,-0.012927858265536963,-0.012927858265536963,-0.012927858265536963,241.65302206982068,241.65302206982068,241.65302206982068,0.0,0.0,0.0,8674.126047947859
3162,2020-08-27,8434.712799753925,5235.84038595798,12457.012509703822,5265.979983979022,12002.992782623456,222.94783866787617,222.94783866787617,222.94783866787617,-9.82809942787061,-9.82809942787061,-9.82809942787061,232.7759380957468,232.7759380957468,232.7759380957468,0.0,0.0,0.0,8657.660638421801
3163,2020-08-28,8436.939645771545,4949.462729149419,12667.445331113882,5246.294345401129,12022.65442184006,210.45850392786366,210.45850392786366,210.45850392786366,-13.317059809390399,-13.317059809390399,-13.317059809390399,223.77556373725406,223.77556373725406,223.77556373725406,0.0,0.0,0.0,8647.39814969941
3164,2020-08-29,8439.166491789167,5088.427136810549,12550.851807862346,5235.289333597654,12042.316061056683,224.52171586993404,224.52171586993404,224.52171586993404,9.84368850567694,9.84368850567694,9.84368850567694,214.6780273642571,214.6780273642571,214.6780273642571,0.0,0.0,0.0,8663.688207659101
3165,2020-08-30,8441.393337806787,5255.41874259544,12409.05361401875,5223.173554374793,12061.977700273304,205.89058608580643,205.89058608580643,205.89058608580643,0.388747206803369,0.388747206803369,0.388747206803369,205.50183887900306,205.50183887900306,205.50183887900306,0.0,0.0,0.0,8647.283923892594
3166,2020-08-31,8443.620183824409,4963.793006756969,12420.384536687636,5208.108066250203,12081.639339489919,202.41332094601765,202.41332094601765,202.41332094601765,6.156795391518905,6.156795391518905,6.156795391518905,196.25652555449872,196.25652555449872,196.25652555449872,0.0,0.0,0.0,8646.033504770427
3167,2020-09-01,8445.847029842029,5174.716598312662,12555.698661621273,5193.042578125615,12101.300978706524,193.7103597171491,193.7103597171491,193.7103597171491,6.768855991465149,6.768855991465149,6.768855991465149,186.94150372568393,186.94150372568393,186.94150372568393,0.0,0.0,0.0,8639.557389559179
3168,2020-09-02,8448.073875859649,4994.583596608288,12509.687907792197,5177.977090001018,12121.853905785614,177.53231190650712,177.53231190650712,177.53231190650712,-0.012927858248820206,-0.012927858248820206,-0.012927858248820206,177.54523976475593,177.54523976475593,177.54523976475593,0.0,0.0,0.0,8625.606187766156
3169,2020-09-03,8450.300721877271,4786.622328615213,12650.680980320296,5162.911601876422,12145.423453144813,158.2166489019753,158.2166489019753,158.2166489019753,-9.828099427840959,-9.828099427840959,-9.828099427840959,168.0447483298163,168.0447483298163,168.0447483298163,0.0,0.0,0.0,8608.517370779246
3170,2020-09-04,8452.527567894891,5309.170800562729,12703.35726028555,5145.24587942306,12168.993000503993,145.08840877468816,145.08840877468816,145.08840877468816,-13.31705980936788,-13.31705980936788,-13.31705980936788,158.40546858405605,158.40546858405605,158.40546858405605,0.0,0.0,0.0,8597.61597666958
3171,2020-09-05,8454.754413912511,5013.303487874986,12498.70507446774,5114.712582499516,12192.5625478632,158.42523856349553,158.42523856349553,158.42523856349553,9.843688505682854,9.843688505682854,9.843688505682854,148.58155005781265,148.58155005781265,148.58155005781265,0.0,0.0,0.0,8613.179652476007
3172,2020-09-06,8456.981259930133,5176.617159284522,12649.227873270858,5104.232588585421,12216.132095222398,138.90531644597277,138.90531644597277,138.90531644597277,0.3887472068034428,0.3887472068034428,0.3887472068034428,138.5165692391693,138.5165692391693,138.5165692391693,0.0,0.0,0.0,8595.886576376106
3173,2020-09-07,8459.208105947753,5169.578208788126,12468.68123354036,5094.328547202141,12239.701642581595,134.30148146687623,134.30148146687623,134.30148146687623,6.156795391543531,6.156795391543531,6.156795391543531,128.1446860753327,128.1446860753327,128.1446860753327,0.0,0.0,0.0,8593.50958741463
3174,2020-09-08,8461.434951965375,5034.926627625154,12499.412329924868,5084.424505818866,12263.271189940784,124.1610926151782,124.1610926151782,124.1610926151782,6.768855991438973,6.768855991438973,6.768855991438973,117.39223662373922,117.39223662373922,117.39223662373922,0.0,0.0,0.0,8585.596044580554
3175,2020-09-09,8463.661797982995,4812.2358343586,12489.2546249148,5072.518673128866,12286.840737299983,106.16681660310853,106.16681660310853,106.16681660310853,-0.01292785820754888,-0.01292785820754888,-0.01292785820754888,106.17974446131608,106.17974446131608,106.17974446131608,0.0,0.0,0.0,8569.828614586104
3176,2020-09-10,8465.888644000617,4823.312849042934,12625.590844581417,5057.453185004269,12310.410284659181,84.59622008194086,84.59622008194086,84.59622008194086,-9.828099427838021,-9.828099427838021,-9.828099427838021,94.42431950977888,94.42431950977888,94.42431950977888,0.0,0.0,0.0,8550.484864082558
3177,2020-09-11,8468.115490018236,4653.851769624161,12674.847860523058,5042.352523000443,12333.97983201837,68.72533926461432,68.72533926461432,68.72533926461432,-13.317059809361206,-13.317059809361206,-13.317059809361206,82.04239907397553,82.04239907397553,82.04239907397553,0.0,0.0,0.0,8536.84082928285
3178,2020-09-12,8470.342336035857,4633.354038120357,12653.213408859503,5025.215278206057,12357.549379377568,78.79646105806071,78.79646105806071,78.79646105806071,9.843688505688771,9.843688505688771,9.843688505688771,68.95277255237195,68.95277255237195,68.95277255237195,0.0,0.0,0.0,8549.138797093918
3179,2020-09-13,8472.569182053478,4840.069979475226,12656.397367480717,5008.078033411669,12381.118926736766,55.46856608822172,55.46856608822172,55.46856608822172,0.3887472067874354,0.3887472067874354,0.3887472067874354,55.079818881434285,55.079818881434285,55.079818881434285,0.0,0.0,0.0,8528.0377481417
3180,2020-09-14,8474.7960280711,4840.464594682951,12746.005663269543,4991.512896705065,12404.688474095972,46.513670153923854,46.513670153923854,46.513670153923854,6.1567953914975435,6.1567953914975435,6.1567953914975435,40.356874762426315,40.356874762426315,40.356874762426315,0.0,0.0,0.0,8521.309698225023
3181,2020-09-15,8477.02287408872,4715.243282441431,12466.759374277,4975.125317045933,12440.923799761887,31.49849846766127,31.49849846766127,31.49849846766127,6.7688559914127975,6.7688559914127975,6.7688559914127975,24.729642476248475,24.729642476248475,24.729642476248475,0.0,0.0,0.0,8508.52137255638
3182,2020-09-16,8479.249720106342,4862.105115488397,12630.595360850772,4958.737737386785,12477.411489676306,8.146611147920623,8.146611147920623,8.146611147920623,-0.01292785822667525,-0.01292785822667525,-0.01292785822667525,8.159539006147298,8.159539006147298,8.159539006147298,0.0,0.0,0.0,8487.396331254262
3183,2020-09-17,8481.476566123963,4745.687910999604,12513.395057898959,4954.929311650018,12501.753273352124,-19.2012158552471,-19.2012158552471,-19.2012158552471,-9.82809942783706,-9.82809942783706,-9.82809942783706,-9.37311642741004,-9.37311642741004,-9.37311642741004,0.0,0.0,0.0,8462.275350268716
3184,2020-09-18,8483.703412141582,4697.839231699739,12697.923643455422,4940.500048636274,12523.384968387772,-41.18324099276961,-41.18324099276961,-41.18324099276961,-13.317059809354532,-13.317059809354532,-13.317059809354532,-27.866181183415083,-27.866181183415083,-27.866181183415083,0.0,0.0,0.0,8442.520171148812
3185,2020-09-19,8485.930258159204,4782.001196659803,12536.497260796057,4926.184225646917,12544.306761770593,-37.4494495613832,-37.4494495613832,-37.4494495613832,9.84368850569481,9.84368850569481,9.84368850569481,-47.29313806707801,-47.29313806707801,-47.29313806707801,0.0,0.0,0.0,8448.48080859782
3186,2020-09-20,8488.157104176824,4740.265975764458,12691.34218233748,4911.337794761198,12565.228555153408,-67.21226660753862,-67.21226660753862,-67.21226660753862,0.38874720682334485,0.38874720682334485,0.38874720682334485,-67.60101381436198,-67.60101381436198,-67.60101381436198,0.0,0.0,0.0,8420.944837569285
3187,2020-09-21,8490.383950194446,4596.821802134299,12936.017705755226,4896.360394474579,12586.150348536228,-82.5520641493043,-82.5520641493043,-82.5520641493043,6.156795391522169,6.156795391522169,6.156795391522169,-88.70885954082648,-88.70885954082648,-88.70885954082648,0.0,0.0,0.0,8407.831886045142
3188,2020-09-22,8492.610796212066,4526.95062006136,12695.670588756897,4876.705061953794,12607.072141919023,-103.73801924243956,-103.73801924243956,-103.73801924243956,6.76885599145842,6.76885599145842,6.76885599145842,-110.50687523389797,-110.50687523389797,-110.50687523389797,0.0,0.0,0.0,8388.872776969627
3189,2020-09-23,8494.837642229688,4193.259047252442,12666.777063045736,4862.401928341007,12627.993935301844,-132.86917506911482,-132.86917506911482,-132.86917506911482,-0.012927858245800842,-0.012927858245800842,-0.012927858245800842,-132.85624721086901,-132.85624721086901,-132.85624721086901,0.0,0.0,0.0,8361.968467160574
3190,2020-09-24,8497.064488247308,4365.2317547746825,12585.204579206085,4845.193885092713,12648.915728684657,-165.41785106731012,-165.41785106731012,-165.41785106731012,-9.828099427864785,-9.828099427864785,-9.828099427864785,-155.58975163944532,-155.58975163944532,-155.58975163944532,0.0,0.0,0.0,8331.646637179998
3191,2020-09-25,8499.291334264928,4281.6632706314285,12406.486633958357,4828.393048483105,12669.39103304204,-191.83021887604755,-191.83021887604755,-191.83021887604755,-13.31705980940448,-13.31705980940448,-13.31705980940448,-178.51315906664308,-178.51315906664308,-178.51315906664308,0.0,0.0,0.0,8307.46111538888
3192,2020-09-26,8501.518180282548,4365.206017141791,12979.174103262729,4811.59221187348,12689.440431862819,-191.56376630162507,-191.56376630162507,-191.56376630162507,9.843688505700852,9.843688505700852,9.843688505700852,-201.4074548073259,-201.4074548073259,-201.4074548073259,0.0,0.0,0.0,8309.954413980922
3193,2020-09-27,8503.74502630017,4315.735087273541,12473.133611085663,4795.6841697971,12711.616046116038,-223.64312129971935,-223.64312129971935,-223.64312129971935,0.388747206807339,0.388747206807339,0.388747206807339,-224.03186850652668,-224.03186850652668,-224.03186850652668,0.0,0.0,0.0,8280.10190500045
3194,2020-09-28,8505.971872317792,4005.5644700967546,12593.643625144172,4779.799611427685,12730.375355910888,-239.97088834393728,-239.97088834393728,-239.97088834393728,6.1567953915179485,6.1567953915179485,6.1567953915179485,-246.12768373545524,-246.12768373545524,-246.12768373545524,0.0,0.0,0.0,8266.000983973854
3195,2020-09-29,8508.198718335412,4495.452848846952,12592.94821673544,4763.915053058271,12751.548091329525,-260.6539197077227,-260.6539197077227,-260.6539197077227,6.768855991432241,6.768855991432241,6.768855991432241,-267.42277569915495,-267.42277569915495,-267.42277569915495,0.0,0.0,0.0,8247.544798627689
3196,2020-09-30,8510.425564353032,4342.387173597793,12813.017309364774,4748.030494688847,12772.72082674818,-287.64973051807107,-287.64973051807107,-287.64973051807107,-0.012927858229083825,-0.012927858229083825,-0.012927858229083825,-287.636802659842,-287.636802659842,-287.636802659842,0.0,0.0,0.0,8222.775833834961
3197,2020-10-01,8512.652410370654,4105.617261384952,12775.33480957001,4732.145936319432,12793.89356216683,-316.31505456109136,-316.31505456109136,-316.31505456109136,-9.828099427835133,-9.828099427835133,-9.828099427835133,-306.48695513325623,-306.48695513325623,-306.48695513325623,0.0,0.0,0.0,8196.337355809563
3198,2020-10-02,8514.879256388274,3987.9038676313407,12788.521946194262,4716.261377950018,12815.066297585465,-337.0112067635246,-337.0112067635246,-337.0112067635246,-13.317059809381957,-13.317059809381957,-13.317059809381957,-323.6941469541427,-323.6941469541427,-323.6941469541427,0.0,0.0,0.0,8177.86804962475
3199,2020-10-03,8517.106102405894,4274.2018893656605,12956.791336258859,4685.611196101486,12835.918999713755,-329.14582603073444,-329.14582603073444,-329.14582603073444,9.84368850570664,9.84368850570664,9.84368850570664,-338.98951453644105,-338.98951453644105,-338.98951453644105,0.0,0.0,0.0,8187.96027637516
3200,2020-10-04,8519.332948423516,3884.776722834832,12780.160700137423,4653.922777339285,12858.72749813421,-351.7323284603276,-351.7323284603276,-351.7323284603276,0.3887472068074123,0.3887472068074123,0.3887472068074123,-352.121075667135,-352.121075667135,-352.121075667135,0.0,0.0,0.0,8167.600619963188
3201,2020-10-05,8521.559794441137,4059.1850515103692,12708.144128412876,4632.172057135928,12890.03038209124,-356.70359209732254,-356.70359209732254,-356.70359209732254,6.156795391513729,6.156795391513729,6.156795391513729,-362.8603874888363,-362.8603874888363,-362.8603874888363,0.0,0.0,0.0,8164.856202343814
3202,2020-10-06,8523.786640458757,4015.738506695119,12554.215120770643,4635.795791688319,12922.901520798116,-364.2401794175326,-364.2401794175326,-364.2401794175326,6.7688559914334245,6.7688559914334245,6.7688559914334245,-371.00903540896604,-371.00903540896604,-371.00903540896604,0.0,0.0,0.0,8159.546461041224
3203,2020-10-07,8526.013486476379,3997.041034680502,12560.75984577485,4628.482962062146,12949.741936284909,-376.4177087425702,-376.4177087425702,-376.4177087425702,-0.012927858284053585,-0.012927858284053585,-0.012927858284053585,-376.40478088428614,-376.40478088428614,-376.40478088428614,0.0,0.0,0.0,8149.595777733808
3204,2020-10-08,8528.240332493999,3689.7184053803585,12395.362829741794,4581.202721887281,12971.352606814165,-388.75529606962056,-388.75529606962056,-388.75529606962056,-9.828099427862856,-9.828099427862856,-9.828099427862856,-378.9271966417577,-378.9271966417577,-378.9271966417577,0.0,0.0,0.0,8139.485036424378
3205,2020-10-09,8530.467178511619,3963.921837898602,12577.190290137109,4567.377175879174,12992.963277343406,-391.81968287419664,-391.81968287419664,-391.81968287419664,-13.317059809391136,-13.317059809391136,-13.317059809391136,-378.5026230648055,-378.5026230648055,-378.5026230648055,0.0,0.0,0.0,8138.647495637422
3206,2020-10-10,8532.69402452924,3811.359751712505,12582.427869199088,4556.051888137128,13014.573947872668,-365.26460072879945,-365.26460072879945,-365.26460072879945,9.843688505712679,9.843688505712679,9.843688505712679,-375.10828923451214,-375.10828923451214,-375.10828923451214,0.0,0.0,0.0,8167.429423800441
